seller_index,title,description,part_category,make,model,generation,year_from,year_to,fuel_type,engine_size,side,position,oem_number,condition,condition_notes,price,image_url,donor_year,compatible_vehicles,safety_warnings,trust_score,listing_score
0,BMW 3 Series F30 Right Headlight 2012-2015,"Right halogen headlight for early F30. Used, tested, no water ingress.",headlight,BMW,3 Series,F30,2012,2015,Any,Any,right,front,63117259526,Good,"One repaired rear tab.",95,https://commons.wikimedia.org/wiki/Special:FilePath/BMW_headlight.jpg?width=640,2014,BMW 3 Series 2012-2015,Confirm halogen/xenon/LED type,0.70,0.72
1,BMW 5 Series F10 Starter Motor 2010-2017,"Starter motor for BMW 5 Series F10 diesel. Removed from running vehicle.",starter,BMW,5 Series,F10,2010,2017,Diesel,2.0L,,front,12418509123,Good,"Bench tested.",65,https://commons.wikimedia.org/wiki/Special:FilePath/Starter_motor.jpg?width=640,2013,BMW 5 Series 2010-2017,Match engine code before purchase,0.73,0.71
0,Nissan Qashqai J10 Rear Bumper 2007-2013,"Rear bumper cover for Qashqai J10. Grey primer finish.",bumper,Nissan,Qashqai,J10,2007,2013,Any,Any,rear,rear,85022JD00H,Fair,"Scratches on corner.",60,https://commons.wikimedia.org/wiki/Special:FilePath/Rear_bumper.jpg?width=640,2011,Nissan Qashqai 2007-2013,Check parking sensor holes,0.66,0.68
1,Nissan Qashqai J11 Passenger Door 2014-2019,"Front passenger door shell for Qashqai J11. Glass and regulator included.",door,Nissan,Qashqai,J11,2014,2019,Any,Any,left,front,H01014EA0A,Good,"Small dent below handle.",95,https://commons.wikimedia.org/wiki/Special:FilePath/Car_door.jpg?width=640,2016,Nissan Qashqai 2014-2019,Paint colour must be matched,0.69,0.70
0,Toyota Yaris Left Wing Mirror 2012-2018,"Left electric wing mirror for Toyota Yaris. Indicator lens included.",wing mirror,Toyota,Yaris,XP130,2012,2018,Any,Any,left,front,879400D580,Good,"Black textured cap.",36,https://commons.wikimedia.org/wiki/Special:FilePath/Car_side_mirror.jpg?width=640,2015,Toyota Yaris 2012-2018,Confirm heated vs non-heated mirror,0.78,0.80
1,Toyota Yaris Hybrid Battery Cooling Fan 2012-2018,"Hybrid battery cooling fan assembly from a Yaris Hybrid.",battery,Toyota,Yaris,XP130,2012,2018,Hybrid,Any,,rear,G92300D010,Good,"Clean fan blades.",58,https://commons.wikimedia.org/wiki/Special:FilePath/Automotive_battery.jpg?width=640,2016,Toyota Yaris Hybrid 2012-2018,Hybrid component - qualified fitting recommended,0.76,0.74
0,Audi A3 8V Front Left Suspension Arm 2012-2020,"Front left lower suspension arm for Audi A3 8V platform.",suspension arm,Audi,A3,8V,2012,2020,Any,Any,left,front,5Q0407151,Good,"Bushes appear serviceable.",40,https://commons.wikimedia.org/wiki/Special:FilePath/Control_arm.jpg?width=640,2015,Audi A3 8V 2012-2020|VW Golf Mk7 2013-2019|Seat Leon Mk3 2012-2020,Safety-critical part - professional inspection required,0.80,0.77
0,Audi A4 B8 Rear Light Left 2008-2015,"Left rear light unit for Audi A4 B8 saloon.",rear light,Audi,A4,B8,2008,2015,Any,Any,left,rear,8K5945095,Good,"Clean lens.",50,https://commons.wikimedia.org/wiki/Special:FilePath/Automobile_tail_light.jpg?width=640,2011,Audi A4 2008-2015,Confirm saloon/avant body type,0.79,0.76
1,MINI Hatch R56 Front Seat 2007-2013,"Driver front seat for MINI Hatch R56. Cloth trim, manual adjustment.",seat,MINI,Hatch,R56,2007,2013,Any,Any,right,front,52102754662,Fair,"Wear on bolster.",70,https://commons.wikimedia.org/wiki/Special:FilePath/Car_seat.jpg?width=640,2010,MINI Hatch 2007-2013,Airbag connector must match,0.63,0.66
0,Mercedes-Benz C-Class W204 Radiator Fan 2007-2014,"Radiator cooling fan assembly for Mercedes C-Class W204.",radiator fan,Mercedes-Benz,C-Class,W204,2007,2014,Any,Any,,front,A2045000293,Good,"Tested fan motor.",85,https://commons.wikimedia.org/wiki/Special:FilePath/Radiator_fan.jpg?width=640,2012,Mercedes-Benz C-Class 2007-2014,Match control module plug,0.74,0.72
1,Seat Ibiza 6J Front Right Door 2008-2017,"Right front door shell for Seat Ibiza 6J. Red paint.",door,Seat,Ibiza,6J,2008,2017,Any,Any,right,front,6J4831052,Good,"No glass included.",80,https://commons.wikimedia.org/wiki/Special:FilePath/Car_door.jpg?width=640,2013,Seat Ibiza 2008-2017,Paint colour must be matched,0.70,0.71
0,Skoda Octavia Mk3 Infotainment Screen 2013-2019,"Centre infotainment display for Skoda Octavia Mk3.",infotainment screen,Skoda,Octavia,Mk3,2013,2019,Any,Any,,dashboard,5E0919605,Good,"Screen has light marks.",90,https://commons.wikimedia.org/wiki/Special:FilePath/Car_navigation_system.jpg?width=640,2016,Skoda Octavia 2013-2019,May require coding to vehicle,0.77,0.79
1,Hyundai i20 Starter Motor 2009-2014,"Starter motor for Hyundai i20 petrol models.",starter,Hyundai,i20,PB,2009,2014,Petrol,1.2L,,front,3610003150,Good,"Bench tested.",45,https://commons.wikimedia.org/wiki/Special:FilePath/Starter_motor.jpg?width=640,2012,Hyundai i20 2009-2014,Match engine size before purchase,0.71,0.70
0,Kia Ceed Alloy Wheel 16 Inch 2012-2018,"Single 16 inch alloy wheel for Kia Ceed. No tyre included.",wheel,Kia,Ceed,JD,2012,2018,Any,Any,,front,52910A2200,Fair,"Kerb marks around rim.",55,https://commons.wikimedia.org/wiki/Special:FilePath/Alloy_wheel.jpg?width=640,2015,Kia Ceed 2012-2018,Check wheel size and offset,0.67,0.69
2,Unknown Car Headlight - Spares or Repair,"Headlight from an old car. Seller unsure of exact model. Sold as spares.",headlight,,,,,,Any,Any,,front,,Unknown,"Sold as seen.",10,https://commons.wikimedia.org/wiki/Special:FilePath/Close-up_of_damaged_headlight_and_grill_on_automobile.jpg?width=640,,,"Compatibility unverified - confirm with seller before purchase",0.28,0.22
